ADDRESS_DESCRIPTION,CITY,CLEARANCE_DATE,CLEARANCE_DETAIL_STATUS,CLEARANCE_STATUS,CMPD_PATROL_DIVISION,DATE_INCIDENT_BEGAN,DATE_INCIDENT_END,DATE_REPORTED,DIVISION_ID,GlobalID,HIGHEST_NIBRS_CODE,HIGHEST_NIBRS_DESCRIPTION,INCIDENT_REPORT_ID,LATITUDE_PUBLIC,LOCATION,LOCATION_TYPE_DESCRIPTION,LONGITUDE_PUBLIC,NPA,OBJECTID,PLACE_DETAIL_DESCRIPTION,PLACE_TYPE_DESCRIPTION,STATE,X_COORD_PUBLIC,YEAR,Y_COORD_PUBLIC,ZIP,geometry_type,coordinates_lon,coordinates_lat,coordinates_json
Location of occurrence,CHARLOTTE,1658275200000,Cleared by Arrest,Cleared by Arrest,North Tryon,1658188800000,1658188800000,1658188800000,07,{3B2223E0-0A57-4B2A-A0E1-57B41B730CB3},13A,Aggravated Assault,20220719-2054-01,35.249514,4400 THE PLAZA,Outdoors,-80.781029,100,1,Gas Station,Retail,NC,1468300,2022,550507,,Point,-80.78102944848057,35.249514296282484,
Location of occurrence,CHARLOTTE,,Open,Open,South,1710720000000,1710720000000,1710979200000,22,{D4D48A03-903F-44A7-8C55-1BAB9C588E68},23C,Shoplifting,20240321-0723-00,35.037169,9800 REA RD,Indoors,-80.804985,204,2,Department Store,Retail,NC,1459744,2024,473368,28277,Point,-80.80498539954517,35.037169370423314,
Location of occurrence,CHARLOTTE,1699315200000,Cleared by Arrest,Cleared by Arrest,Metro,1699315200000,1699315200000,1699315200000,02,{A2B3F7A6-3E36-433D-9C3B-06653980F077},13B,Simple Assault,20231107-1938-01,35.239391,500 SPRATT ST,Indoors,-80.837933,157,3,Public Housing Private,Residential,NC,1451246,2023,547133,,Point,-80.83793296113112,35.23939114268306,
Location of occurrence,CHARLOTTE,,Open,Open,Freedom,1509494400000,1522713600000,1522713600000,27,{569A478B-C911-4361-BE7D-0FD5DED9BFBA},90Z,All Other Offenses,20180403-1151-00,35.256899,5600 STONE BLUFF CT,Indoors,-80.932874,140,4,Private Residence,Residential,NC,1423027,2018,554042,28214,Point,-80.93287361128584,35.25689877188025,
Location of occurrence,CHARLOTTE,,Open,Open,South,1526169600000,1532476800000,1532476800000,22,{A15718AD-2241-4F1B-B92E-5DAC04C6375A},13B,Simple Assault,20180725-0704-02,35.033445,10100 ALLYSON PARK DR,Indoors,-80.833444,151,5,Private Residence,Residential,NC,1451202,2018,472169,28277,Point,-80.83344364926498,35.03344528122314,
Location of occurrence,CHARLOTTE,,Open,Open,Providence,1695427200000,1695513600000,1695513600000,16,{FD401D2A-5531-4498-A621-8D5D16AB7DBA},120,Robbery,20230924-2308-02,35.204369,3000 E INDEPENDENCE BV,Outdoors,-80.7929,366,6,Hotel/Motel,Commercial Place,NC,1464460,2023,534143,28205,Point,-80.79289958068576,35.20436880653132,
Location of occurrence,CHARLOTTE,1614211200000,Cleared by Arrest,Cleared by Arrest,University City,1600387200000,,1600387200000,14,{B088B60C-329A-43E6-9256-EC488596C6AB},35B,Drug Equipment Violations,20200918-0741-01,35.303075,7000 RUMPLE RD,Outdoors,-80.786027,259,7,Private Residence,Residential,NC,1467159,2020,570024,,Point,-80.7860267071426,35.30307513597597,
Location of occurrence,CHARLOTTE,1488240000000,Cleared by Other Means,Exceptionally Cleared,Steele Creek,1483574400000,1483574400000,1483574400000,21,{50FD288F-2F12-4F94-B3CE-914AA0971EB1},809,Vehicle Recovery,20170105-0729-01,35.132545,11600 FRUEHAUF DR,Outdoors,-80.95882,68,8,Other - Commercial Place,Commercial Place,NC,1414390,2017,508945,,Point,-80.95881962795353,35.13254520741639,
Location of occurrence,CHARLOTTE,,Open,Open,South,1489968000000,1490054400000,1490054400000,22,{6B755451-98BC-4BD8-AD49-12F35D09EC09},23F,Theft From Motor Vehicle,20170321-0706-00,35.101549,600 ASHGROVE LN,Outdoors,-80.743386,400,9,Private Residence,Residential,NC,1478591,2017,496465,28270,Point,-80.74338615247254,35.101548980015664,
Location of occurrence,CHARLOTTE,,Open,Open,North,1561852800000,1561852800000,1561852800000,11,{53381748-0E2B-4CDC-A609-8471738896E2},23C,Shoplifting,20190630-1503-01,35.327594,9800 CALLABRIDGE CT,Indoors,-80.943262,109,10,Department Store,Retail,NC,1420430,2019,579827,28216,Point,-80.94326213077895,35.32759383462204,
